"endpoint","field","data_type","can_query","group"
"assignees","app_country","string","y","applications"
"assignees","app_date","date","y","applications"
"assignees","app_number","string","y","applications"
"assignees","app_type","string","y","applications"
"assignees","assignee_first_name","string","y","assignees"
"assignees","assignee_first_seen_date","date","y","assignees"
"assignees","assignee_id","string","y","assignees"
"assignees","assignee_key_id","string","n","assignees"
"assignees","assignee_last_name","string","y","assignees"
"assignees","assignee_last_seen_date","date","y","assignees"
"assignees","assignee_lastknown_city","string","y","assignees"
"assignees","assignee_lastknown_country","string","y","assignees"
"assignees","assignee_lastknown_latitude","float","n","assignees"
"assignees","assignee_lastknown_location_id","string","y","assignees"
"assignees","assignee_lastknown_longitude","float","n","assignees"
"assignees","assignee_lastknown_state","string","y","assignees"
"assignees","assignee_organization","string","y","assignees"
"assignees","assignee_total_num_inventors","integer","y","assignees"
"assignees","assignee_total_num_patents","integer","y","assignees"
"assignees","assignee_type","string","y","assignees"
"assignees","cpc_category","string","y","cpcs"
"assignees","cpc_first_seen_date","date","y","cpcs"
"assignees","cpc_group_id","string","y","cpcs"
"assignees","cpc_group_title","string","y","cpcs"
"assignees","cpc_last_seen_date","date","y","cpcs"
"assignees","cpc_num_patents_for_assignee","integer","y","cpcs"
"assignees","cpc_section_id","string","y","cpcs"
"assignees","cpc_subgroup_id","string","y","cpcs"
"assignees","cpc_subgroup_title","string","y","cpcs"
"assignees","cpc_subsection_id","string","y","cpcs"
"assignees","cpc_subsection_title","string","y","cpcs"
"assignees","cpc_total_num_assignees","integer","y","cpcs"
"assignees","cpc_total_num_inventors","integer","y","cpcs"
"assignees","cpc_total_num_patents","integer","y","cpcs"
"assignees","govint_contract_award_number","string","y","gov_interests"
"assignees","govint_org_id","integer","y","gov_interests"
"assignees","govint_org_level_one","string","y","gov_interests"
"assignees","govint_org_level_three","string","y","gov_interests"
"assignees","govint_org_level_two","string","y","gov_interests"
"assignees","govint_org_name","string","y","gov_interests"
"assignees","govint_raw_statement","fulltext","y","gov_interests"
"assignees","inventor_city","string","y","inventors"
"assignees","inventor_country","string","y","inventors"
"assignees","inventor_first_name","string","y","inventors"
"assignees","inventor_first_seen_date","date","y","inventors"
"assignees","inventor_id","string","y","inventors"
"assignees","inventor_last_name","string","y","inventors"
"assignees","inventor_last_seen_date","date","y","inventors"
"assignees","inventor_lastknown_city","string","y","inventors"
"assignees","inventor_lastknown_country","string","y","inventors"
"assignees","inventor_lastknown_latitude","float","n","inventors"
"assignees","inventor_lastknown_location_id","string","y","inventors"
"assignees","inventor_lastknown_longitude","float","n","inventors"
"assignees","inventor_lastknown_state","string","y","inventors"
"assignees","inventor_latitude","float","n","inventors"
"assignees","inventor_longitude","float","n","inventors"
"assignees","inventor_num_patents_for_assignee","integer","y","inventors"
"assignees","inventor_state","string","y","inventors"
"assignees","inventor_total_num_patents","integer","y","inventors"
"assignees","ipc_action_date","date","n","ipcs"
